go_file,stop_file,correct_key,signal,Loop_practice.thisRepN,Loop_practice.thisTrialN,Loop_practice.thisN,Loop_practice.thisIndex,Loop_blocchi.thisRepN,Loop_blocchi.thisTrialN,Loop_blocchi.thisN,Loop_blocchi.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,SSD,premature,RT,dot_img.started,dot_img.stopped,go_img.started,go_img.stopped,stop_img.started,stop_img.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,ISI.started,ISI.stopped,feedback_txt.started,feedback_txt.stopped,iti_txt.started,iti_txt.stopped,begin_txt.started,begin_txt.stopped,begin_kb.keys,begin_kb.rt,begin_kb.started,begin_kb.stopped,break_txt.started,break_txt.stopped,thanks_txt.started,thanks_txt.stopped,thanks_kb.keys,thanks_kb.rt,thanks_kb.started,thanks_kb.stopped,participant,session,training,date,expName,psychopyVersion,frameRate,
go_left.png,stop.jpg,left,1,0,0,0,6,,,,,,,,,150.0,0,306.9333460000394,44.34570693699999,45.14554991199998,45.14554991199998,45.244346131999976,45.38408024199998,45.44988110199995,left,1,1.2569333460000394,44.34570693699999,None,0.013548603666663439,0.8135486036666635,45.69101303499997,None,46.623843905,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,0,1,1,4,,,,,,,,,99.99999999999999,0,428.60645900002515,48.24168650399997,49.07361220499996,49.07361220499996,49.170800489999976,49.266673411,49.33335820099995,left,1,1.378606459000025,48.24168650399997,None,0.009337882333340985,0.809337882333341,49.637829900999975,None,50.63415202199997,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,0,2,2,5,,,,,,,,,99.99999999999999,1,-153.84434199996798,52.25207528699997,None,53.085152820666636,None,None,None,left,0,0.796155658000032,52.25207528699997,None,0.007144092333305707,0.8071440923333058,53.08785727099996,None,54.08312866699998,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,0,3,3,1,,,,,,,,,99.99999999999999,,,55.697412858999996,56.529230204999976,56.529230204999976,56.62450700399995,56.72582981199997,56.792956507999975,None,0,,55.697412858999996,None,0.011537722333287093,0.8115377223332871,57.39620601099995,None,58.39196559999999,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,stop.jpg,right,1,0,4,4,7,,,,,,,,,99.99999999999999,0,314.3681590000711,60.01469275699998,60.846949947999974,60.846949947999974,60.942936987999985,61.050286418999974,61.11662381599996,right,1,1.264368159000071,60.01469275699998,None,0.0027495613333030633,0.8027495613333031,61.29666045399995,None,62.29172288299998,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,0,5,5,3,,,,,,,,,50.0,0,701.1765860000764,63.90781929799999,64.73874600899995,64.73874600899995,64.83309191899997,64.88284444299995,64.949265685,right,1,1.6511765860000764,63.90781929799999,None,0.009199940333360246,0.8091999403333603,65.57988279499995,None,66.574516432,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,0,6,6,0,,,,,,,,,50.0,0,523.7004160000424,68.19082441799998,69.02273721499995,69.02273721499995,69.13280997299995,69.16667976499997,69.23327717999996,left,1,1.4737004160000424,68.19082441799998,None,0.009768790333339439,0.8097687903333395,69.67699572999999,None,70.67493617099996,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,0,7,7,2,,,,,,,,,50.0,0,313.7475500000051,72.28961249899999,73.12201332899997,73.12201332899997,73.21566994,73.265663695,73.33237170199999,right,0,1.263747550000005,72.28961249899999,None,0.011021951333304969,0.811021951333305,73.569998957,None,74.56575396799997,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15865953299999,None,space,1.8700173980000727,76.15865953299999,None,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,stop.jpg,right,1,,,,,0,0,0,0,0,0,0,7,50.0,0,267.56309900007415,78.07833705999997,78.90806110999995,78.90806110999995,79.00623037199995,79.05883653799998,79.12532651599997,right,1,1.217563099000074,78.07833705999997,None,0.01576275800005078,0.8157627580000508,,,79.310665524,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,0,1,1,1,50.0,0,353.83916700003516,80.92936040399997,81.761725184,81.761725184,81.85596546799997,81.90898880699996,81.97569725899996,right,1,1.303839167000035,80.92936040399997,None,0.012002997333354415,0.8120029973333545,,,82.24960627899998,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,stop.jpg,left,1,,,,,0,0,0,0,0,2,2,6,50.0,,,83.87358056599999,84.70595117099998,84.70595117099998,84.80319509099996,84.85837475099999,84.92606235199997,None,0,,83.87358056599999,None,0.0013605983332922733,0.8013605983332923,,,85.56658961899996,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,0,3,3,0,100.0,0,561.6239750000204,87.19036147099996,88.02121037399996,88.02121037399996,88.11537274199998,88.21613273599996,88.28337672099997,right,0,1.5116239750000204,87.19036147099996,None,0.008928075333358265,0.8089280753333583,,,88.718898062,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,0,4,4,3,100.0,0,408.14966000003784,90.33772530199997,91.16760178099997,91.16760178099997,91.26653631799996,91.35877146599995,91.42649975999996,right,1,1.3581496600000378,90.33772530199997,None,0.012306572333329768,0.8123065723333298,,,91.70966644399999,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,0,5,5,4,100.0,0,267.40180400001924,93.33196648999996,94.16436393499998,94.16436393499998,94.265461679,94.35803904099998,94.42462483599996,left,1,1.2174018040000192,93.33196648999996,None,0.009372362333408546,0.8093723623334086,,,94.58234950399998,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,0,6,6,5,100.0,0,247.702545000027,96.19859200599996,97.03146451399999,97.03146451399999,97.13189941099995,97.22407290899997,97.28533775299996,right,1,1.197702545000027,96.19859200599996,None,0.009386522333272751,0.8093865223332728,,,97.40927920299998,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,stop.jpg,left,1,,,,,0,0,0,0,0,7,7,6,100.0,,,99.04025148299996,99.870564151,99.870564151,99.96523375999999,100.074982955,100.14183662099998,None,0,,99.04025148299996,None,0.0010077983333758311,0.8010077983333759,,,100.73281571599995,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,1,0,8,4,150.00000000000003,0,377.73862100009416,102.35458851799996,103.18509438299998,103.18509438299998,103.28145586,103.43159731399999,103.498998793,left,1,1.327738621000094,102.35458851799996,None,0.011335143333326414,0.8113351433333265,,,103.71555026899995,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,1,1,9,0,150.00000000000003,0,288.5102910000115,105.33010924999996,106.161533722,106.161533722,106.25531534699996,106.40762840299999,106.46901944899997,left,1,1.2385102910000114,105.33010924999996,None,0.010743262333335224,0.8107432623333353,,,106.59844996199996,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,1,2,10,2,150.00000000000003,0,256.3849720000804,108.21191756099995,109.04294910099998,109.04294910099998,109.14176243899999,109.291398432,109.35761902599995,left,1,1.2063849720000803,108.21191756099995,None,0.012226957333325572,0.8122269573333256,,,109.43220885099998,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,1,3,11,3,150.00000000000003,0,293.23975000004344,111.04686936499996,111.88000787699997,111.88000787699997,111.97447426299999,112.12442831699997,112.191951324,right,1,1.2432397500000434,111.04686936499996,None,0.010157170333286558,0.8101571703332866,,,112.30864520999995,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,1,4,12,2,150.00000000000003,0,294.98505600007553,113.93089541699999,114.76233355199997,114.76233355199997,114.85788809500002,115.00784800999998,115.07473513799994,left,1,1.2449850560000755,113.93089541699999,None,0.009996771333248944,0.809996771333249,,,115.19234752599993,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,1,5,13,0,150.00000000000003,0,283.707020000054,116.81254017899994,117.64740328599999,117.64740328599999,117.764565489,117.89045043099998,117.95528417999992,left,1,1.233707020000054,116.81254017899994,None,0.011693312333250105,0.8116933123332501,,,118.05927692399996,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,stop.jpg,right,1,,,,,0,0,0,0,1,6,14,7,150.00000000000003,0,309.084951000034,119.68872453199992,120.52099507100002,120.52099507100002,120.61890017199994,120.77492673699999,120.84134637900002,right,1,1.259084951000034,119.68872453199992,None,0.0019280553332237105,0.8019280553332238,,,120.95909184899995,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,stop.jpg,left,1,,,,,0,0,0,0,1,7,15,6,100.00000000000001,,,122.59034353799996,123.42236029899993,123.42236029899993,123.51868556499994,123.62456279899993,123.691727991,None,0,,122.59034353799996,None,0.0002739463333227832,0.8002739463333228,,,124.29108795399998,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,2,0,16,4,150.00000000000003,0,455.65742800009735,125.91612881799995,126.74862939699995,126.74862939699995,126.84746033700003,126.99791260099994,127.06524262799996,left,1,1.4056574280000973,125.91612881799995,None,0.007534488333249101,0.8075344883332491,,,127.334566462,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,stop.jpg,right,1,,,,,0,0,0,0,2,1,17,7,150.00000000000003,,,128.96268230199996,129.79491248199997,129.79491248199997,129.89024748600002,130.048097299,130.11406692000003,None,0,,128.96268230199996,None,0.002365049333434399,0.8023650493334344,,,130.65779964699993,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,2,2,18,5,200.0,0,472.8797370000735,132.27791845000002,133.10922311699994,133.10922311699994,133.198530107,133.405844452,133.46538142399993,right,1,1.4228797370000734,132.27791845000002,None,0.012133427333310465,0.8121334273333105,,,133.71964756299997,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,stop.jpg,left,1,,,,,0,0,0,0,2,3,19,6,200.0,0,461.70961599999606,135.345082305,136.178197104,136.178197104,136.27383804099998,136.48132177000002,136.54793678700003,left,1,1.411709615999996,135.345082305,None,0.002981296333359751,0.8029812963333598,,,136.774372222,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,2,4,20,2,150.00000000000003,0,479.13951400004186,138.39491331199997,139.22744541999998,139.22744541999998,139.32421894100003,139.47364338900002,139.540888677,left,1,1.4291395140000418,138.39491331199997,None,0.011638133333349288,0.8116381333333493,,,139.84185118599999,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,2,5,21,1,150.00000000000003,0,389.03103500000503,141.46407810699998,142.29488826800002,142.29488826800002,142.38745620499992,142.54057836100003,142.60758910100003,right,1,1.339031035000005,141.46407810699998,None,0.009395773333494617,0.8093957733334947,,,142.814585372,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,2,6,22,0,150.00000000000003,0,413.8815459999592,144.42802244999996,145.25984676500002,145.25984676500002,145.35745829500001,145.50696612399997,145.57368678199998,left,1,1.3638815459999591,144.42802244999996,None,0.01158732033331944,0.8115873203333195,,,145.80845229099998,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,stop.jpg,right,1,,,,,0,0,0,0,2,7,23,7,150.00000000000003,0,301.686723999967,147.43436537599996,148.26673974200003,148.26673974200003,148.364209394,148.51370882699996,148.58172438399993,right,1,1.251686723999967,147.43436537599996,None,0.003649261333521281,0.8036492613335213,,,148.69850156999996,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,3,0,24,4,100.00000000000001,0,455.03750299996005,150.32369776999997,151.15587821399993,151.15587821399993,151.25453870699994,151.35691026199993,151.42369359199995,left,1,1.40503750299996,150.32369776999997,None,0.00755025833336731,0.8075502583333674,,,151.74181229199996,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,3,1,25,1,100.00000000000001,0,370.040319000043,153.36287073300002,154.19335712299994,154.19335712299994,154.29036695499997,154.39030497700003,154.457015995,right,1,1.320040319000043,153.36287073300002,None,0.01018025733333161,0.8101802573333317,,,154.70100301799994,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,3,2,26,2,100.00000000000001,0,484.7374740000874,156.32193948199995,157.15529251099997,157.15529251099997,157.25426188999995,157.34727968999994,157.41422487900002,left,1,1.4347374740000873,156.32193948199995,None,0.008969964333232383,0.8089699643332324,,,157.77452202999996,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,3,3,27,3,100.00000000000001,0,250.92734100006743,159.394314795,160.22684926399995,160.22684926399995,160.323575053,160.42287501199996,160.49014014099998,right,1,1.2009273410000674,159.394314795,None,0.011691292333466663,0.8116912923334667,,,160.60771118599996,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,stop.jpg,right,1,,,,,0,0,0,0,3,4,28,7,100.00000000000001,0,335.33017400008026,162.23861952999994,163.06974388799995,163.06974388799995,163.16358565400003,163.27156540800001,163.363101369,right,1,1.2853301740000802,162.23861952999994,None,0.0005457403334503397,0.8005457403334504,,,163.54205368600003,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,stop.jpg,left,1,,,,,0,0,0,0,3,5,29,6,50.000000000000014,,,165.16872528199997,166.001195423,166.001195423,166.09728054799996,166.155969303,166.22364804999995,None,0,,165.16872528199997,None,0.003763394333418546,0.8037633943334186,,,166.86449372200002,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,3,6,30,5,100.00000000000001,0,340.1115640000285,168.48592063499996,169.31737204900003,169.31737204900003,169.41351103800002,169.51335780199997,169.58028272499996,right,1,1.2901115640000285,168.48592063499996,None,0.011352562333399874,0.8113525623333999,,,169.79120204899993,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,3,7,31,2,100.00000000000001,0,305.99034300006457,171.41444166199994,172.246407063,172.246407063,172.34627268999998,172.43890588099998,172.50368080199996,left,1,1.2559903430000645,171.41444166199994,None,0.008052672333406008,0.808052672333406,,,172.68368945499992,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,stop.jpg,left,1,,,,,0,0,0,0,4,0,32,6,100.00000000000001,,,174.31110728299996,175.143327204,175.143327204,175.239883234,175.34672196299994,175.413565264,None,0,,174.31110728299996,None,0.0026107283333658415,0.8026107283333659,,,176.00665695700002,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,stop.jpg,left,1,,,,,0,0,0,0,4,1,33,6,150.00000000000003,0,346.35662200013263,177.63545400199996,178.466720969,178.466720969,178.56310286299993,178.722274051,178.79024194800002,left,1,1.2963566220001326,177.63545400199996,None,0.0035317023333618636,0.8035317023333619,,,178.94758460399999,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,4,2,34,3,100.00000000000001,0,315.8896520001122,180.574207913,181.40500079000003,181.40500079000003,181.50338173399996,181.60254520499996,181.67025906699996,right,1,1.2658896520001122,180.574207913,None,0.006581089333280943,0.806581089333281,,,181.856735781,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,4,3,35,1,100.00000000000001,0,385.557061999964,183.47903453499998,184.31225743899995,184.31225743899995,184.41284475399993,184.505427262,184.572841863,right,1,1.335557061999964,183.47903453499998,None,0.009475473333395712,0.8094754733333958,,,184.83076618899997,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,stop.jpg,left,1,,,,,0,0,0,0,4,4,36,6,100.00000000000001,,,186.45796613999994,187.29095003499992,187.29095003499992,187.412761521,187.48886187799997,187.556244301,None,0,,186.45796613999994,None,0.005293529333357583,0.8052935293333576,,,188.15626052099992,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,4,5,37,3,150.00000000000003,0,460.9327870000357,189.776586435,190.608895006,190.608895006,190.71284326399996,190.85522531799995,190.92065047300002,right,1,1.4109327870000357,189.776586435,None,0.011837735333187993,0.811837735333188,,,191.207216766,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,4,6,38,2,150.00000000000003,0,535.1399419999893,192.82590172300002,193.65662171099996,193.65662171099996,193.75324902800003,193.89576036300002,193.96326289799993,left,1,1.4851399419999893,192.82590172300002,None,0.012566792333359444,0.8125667923333595,,,194.32365429200001,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,4,7,39,1,150.00000000000003,0,353.4424030000196,195.94335693799997,196.77494616299998,196.77494616299998,196.89575207899998,197.02187690699998,197.08913291299996,right,1,1.3034424030000196,195.94335693799997,None,0.011718967333308683,0.8117189673333087,,,197.26630524199993,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,5,0,40,4,150.00000000000003,0,433.1322000000342,198.88357070999996,199.71606460199996,199.71606460199996,199.81213556699993,199.95475498899998,200.02280356799997,left,1,1.3831322000000341,198.88357070999996,None,0.012406643333406464,0.8124066433334065,,,200.28040583999996,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,stop.jpg,right,1,,,,,0,0,0,0,5,1,41,7,150.00000000000003,0,321.5606970000977,201.90919653100002,202.741206585,202.741206585,202.83921458499992,202.989215478,203.05582764999997,right,1,1.2715606970000977,201.90919653100002,None,0.003471883333304504,0.8034718833333045,,,203.19692702999998,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,5,2,42,3,100.00000000000001,0,386.33209900000344,204.81830036099996,205.65004415700002,205.65004415700002,205.749774924,205.846128012,205.91336084699992,right,1,1.3363320990000034,204.81830036099996,None,0.011234551333359377,0.8112345513333594,,,206.173148018,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,5,3,43,4,100.00000000000001,0,419.9173720000886,207.79290098499996,208.624255673,208.624255673,208.722007105,208.821949324,208.88753269300003,left,1,1.3699173720000886,207.79290098499996,None,0.01173884733327668,0.8117388473332767,,,209.18277990899992,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,5,4,44,5,100.00000000000001,0,376.8095150000932,210.802150138,211.63415149599996,211.63415149599996,211.72949865099997,211.829120827,211.89571888299997,right,1,1.3268095150000931,210.802150138,None,0.011089244333447823,0.8110892443334479,,,212.14035170299996,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,5,5,45,3,100.00000000000001,0,355.15845899998345,213.76086023899995,214.592071013,214.592071013,214.68845212099995,214.788263261,214.85478261899993,right,1,1.3051584589999834,213.76086023899995,None,0.010353101333407722,0.8103531013334078,,,215.07926949199998,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_left.png,bianco.png,left,0,,,,,0,0,0,0,5,6,46,0,100.00000000000001,0,363.6069980001253,216.69265754899993,217.52473899400002,217.52473899400002,217.62197498299997,217.721827804,217.78903088599998,left,1,1.3136069980001253,216.69265754899993,None,0.011797989333445003,0.811797989333445,,,218.02345741399995,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,5,7,47,3,100.00000000000001,0,392.0191980000596,219.64516284699994,220.476345015,220.476345015,220.59528628299995,220.67145554699994,220.73882216799996,right,1,1.3420191980000595,219.64516284699994,None,0.009274532333392926,0.809274532333393,,,221.00523660800002,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,6,0,48,1,100.00000000000001,0,270.7765930000392,222.63290361199995,223.462768299,223.462768299,223.561877472,223.66172414099992,223.72881615799997,right,1,1.2207765930000392,222.63290361199995,None,0.005047683333259556,0.8050476833332596,,,223.871543417,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,6,1,49,1,100.00000000000001,0,353.02634699995684,225.49305217699998,226.32433185799994,226.32433185799994,226.42175576199998,226.52101675999995,226.58762557299997,right,1,1.3030263469999568,225.49305217699998,None,0.010927430333367738,0.8109274303333678,,,226.82966900600002,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
go_right.png,bianco.png,right,0,,,,,0,0,0,0,6,2,50,3,100.00000000000001,0,287.28628600002827,228.45307730000002,229.28543832699995,229.28543832699995,229.385416233,229.47880306000002,229.54462871499993,right,1,1.2372862860000282,228.45307730000002,None,0.009334785333294349,0.8093347853332944,,,229.70596993499998,None,,,,,,,,,,,,,,,0,001,1,2024-05-13_10h18.56.562,SST,2022.1.4,None,
